Source,Target,Type,Id,Label,Weight
1,101,Undirected,,,
1,102,Undirected,,,
1,103,Undirected,,,
1,104,Undirected,,,
1,105,Undirected,,,
1,2,Undirected,,,
2,101,Undirected,,,
2,201,Undirected,,,
2,202,Undirected,,,
2,203,Undirected,,,
2,204,Undirected,,,
204,101,Undirected,,,
204,20401,Undirected,,,
3,301,Undirected,,,
3,302,Undirected,,,
3,303,Undirected,,,
302,30201,Undirected,,,
3,103,Undirected,,,
4,401,Undirected,,,
4,402,Undirected,,,
4,403,Undirected,,,
4,404,Undirected,,,
402,40201,Undirected,,,
405,40202,Undirected,,,
402,40203,Undirected,,,
402,40204,Undirected,,,
402,40205,Undirected,,,
402,40206,Undirected,,,
40203,4020301,Undirected,,,
40203,4020302,Undirected,,,
303,402,Undirected,,,
305,402,Undirected,,,
40206,4020601,Undirected,,,
40204,4020401,Undirected,,,
2,40205,Undirected,,,
3,304,Undirected,,,
304,30401,Undirected,,,
304,30402,Undirected,,,
304,30403,Undirected,,,
304,30404,Undirected,,,
304,30405,Undirected,,,
5,501,Undirected,,,
501,50101,Undirected,,,
501,50102,Undirected,,,
501,50103,Undirected,,,
501,50104,Undirected,,,
501,50105,Undirected,,,
501,50106,Undirected,,,
501,50107,Undirected,,,
501,50108,Undirected,,,
5,502,Undirected,,,
502,50201,Undirected,,,
502,50202,Undirected,,,
502,50203,Undirected,,,
502,50204,Undirected,,,
502,50205,Undirected,,,
502,50102,Undirected,,,
502,50103,Undirected,,,
5,503,Undirected,,,
503,50301,Undirected,,,
503,50302,Undirected,,,
5,504,Undirected,,,
502,504,Undirected,,,
504,50401,Undirected,,,
504,50402,Undirected,,,
504,50403,Undirected,,,
504,50404,Undirected,,,
504,50405,Undirected,,,
504,50406,Undirected,,,
504,50407,Undirected,,,
504,50408,Undirected,,,
504,50409,Undirected,,,
50402,50403,Undirected,,,
50402,50404,Undirected,,,
50407,50408,Undirected,,,
50406,50407,Undirected,,,
6,601,Undirected,,,
6,602,Undirected,,,
602,60201,Undirected,,,
602,60202,Undirected,,,
103,60201,Undirected,,,
302,60202,Undirected,,,
602,30403,Undirected,,,
602,30201,Undirected,,,
104,602,Undirected,,,
30403,60202,Undirected,,,
30201,60202,Undirected,,,
6,603,Undirected,,,
603,60301,Undirected,,,
603,60302,Undirected,,,
603,60303,Undirected,,,
603,60304,Undirected,,,
603,60305,Undirected,,,
603,60306,Undirected,,,
301,6030201,Undirected,,,
60302,6030201,Undirected,,,
60303,6030301,Undirected,,,
6,604,Undirected,,,
604,60401,Undirected,,,
604,60402,Undirected,,,
604,60403,Undirected,,,
604,60404,Undirected,,,
604,60405,Undirected,,,
40204,604,Undirected,,,
60402,6040201,Undirected,,,
60402,6040202,Undirected,,,
60403,6040301,Undirected,,,
7,701,Undirected,,,
7,702,Undirected,,,
7,703,Undirected,,,
7,704,Undirected,,,
701,70101,Undirected,,,
701,70102,Undirected,,,
701,70103,Undirected,,,
704,70401,Undirected,,,
704,70402,Undirected,,,
704,70403,Undirected,,,
50401,70403,Undirected,,,
704,50401,Undirected,,,
8,801,Undirected,,,
8,802,Undirected,,,
8,803,Undirected,,,
8,804,Undirected,,,
803,80301,Undirected,,,
803,80302,Undirected,,,
803,80303,Undirected,,,
803,80304,Undirected,,,
803,80305,Undirected,,,
803,80306,Undirected,,,
803,80307,Undirected,,,
804,80401,Undirected,,,
804,80402,Undirected,,,
804,80403,Undirected,,,
